price,title,no_of_bedrooms,no_of_bathrooms,area
"130,000","The Cove, Dubai Creek Harbour, The Lagoons, Dubai",2,2,"1,305"
"75,000","Jumeirah Bay X1, JLT Cluster X (Jumeirah Bay Towers), Jumeirah Lake Towers (JLT), Dubai",1,2,880
"99,000","Park View Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",1,2,991
"114,000","Belgravia 3, JVC District 14, Jumeirah Village Circle (JVC), Dubai",2,2,"1,217"
"55,000","Zahra Apartments 1A, Zahra Apartments, Town Square, Dubai",2,2,928
"48,000","Maple 1, Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC), Dubai",1,2,"1,296"
"140,000","Al Jaz 3, Al Jaz, The Greens, Dubai",3,2,"1,482"
"127,999","The Lofts East, The Lofts, Downtown Dubai, Dubai",2,3,"1,297"
"57,000","New Dubai Gate 2, JLT Cluster A, Jumeirah Lake Towers (JLT), Dubai",2,2,754
"69,999","Belgravia 3, JVC District 14, Jumeirah Village Circle (JVC), Dubai",1,1,820
"45,000","Armada Tower 1, Armada Towers, JLT Cluster P, Jumeirah Lake Towers (JLT), Dubai",Studio,1,481
"78,000","Sandoval Garden, Jumeirah Village Circle (JVC), Dubai",2,3,"1,261"
"33,000","Lincoln Park Northside, Lincoln Park, Arjan, Dubai",Studio,1,619
"55,000","Laya Residences, Jumeirah Village Circle (JVC), Dubai",1,2,996
"28,000","Mulberry 1, Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Studio,1,482
"85,000","Azure, Dubai Marina, Dubai",1,2,867
"75,000","Belgravia 3, JVC District 14, Jumeirah Village Circle (JVC), Dubai",1,1,840
"140,000","Park Point, Dubai Hills Estate, Dubai",3,4,"1,356"
"55,000","Laya Residences, Jumeirah Village Circle (JVC), Dubai",1,2,995
"60,000","Marina Diamond 1, Marina Diamonds, Dubai Marina, Dubai",1,1,719
"80,000","The Cove, Dubai Creek Harbour, The Lagoons, Dubai",1,1,790
"120,000","Mughal, The Grandeur Residences, Palm Jumeirah, Dubai",1,2,"1,101"
"33,000","Lincoln Park Northside, Lincoln Park, Arjan, Dubai",Studio,1,610
"58,000","Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",1,2,797
"50,000","Evershine Gardens, Arjan, Dubai",1,2,"1,001"
"42,000","Royal JVC Building, Jumeirah Village Circle (JVC), Dubai",1,2,850
"30,000","Glitz 1, Glitz, Dubai Studio City, Dubai",Studio,1,450
"80,000","Safi 2, Safi Apartments, Town Square, Dubai",3,4,"1,407"
"47,999","Dumax Building, Arjan, Dubai",1,2,950
"54,999","Park Corner, Jumeirah Village Circle (JVC), Dubai",1,2,793
"40,000","Oxford Boulevard, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Studio,1,376
"90,000","Al Manal Elite, Jumeirah Village Circle (JVC), Dubai",2,3,"1,700"
"70,000","The Cove, Dubai Creek Harbour, The Lagoons, Dubai",1,1,790
"45,000","Sandoval Garden, Jumeirah Village Circle (JVC), Dubai",1,2,805
"59,999","The Wings, Arjan, Dubai",2,2,"1,199"
"69,999","Belgravia 3, JVC District 14, Jumeirah Village Circle (JVC), Dubai",1,1,840
"45,000","Building 88, Arjan, Dubai",1,2,858
"62,000","Al Manal Elite, Jumeirah Village Circle (JVC), Dubai",1,2,"1,050"
"60,000","Valencia Residence, Jumeirah Village Circle (JVC), Dubai",2,2,"1,350"
"45,000","Oxford Boulevard, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Studio,1,392
"120,000","Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",1,1,733
"60,000","Pantheon Elysee, JVC District 13, Jumeirah Village Circle (JVC), Dubai",1,2,771
"32,000","Regent House 1, Regent House, Uptown Motor City, Motor City, Dubai",Studio,1,714
"74,999","Salim 1, Arjan, Dubai",2,3,"1,400"
"95,000","Shemara, Marina Promenade, Dubai Marina, Dubai",1,2,"1,073"
"33,000","Lincoln Park Northside, Lincoln Park, Arjan, Dubai",Studio,1,619
"95,000","Paloma, Marina Promenade, Dubai Marina, Dubai",1,2,"1,036"
"44,999","Binghatti West, Dubai Residence Complex, Dubai",1,2,882
"60,000","Oia Residence, Motor City, Dubai",1,2,846
"600,000","The Address Sky View Tower 2, The Address Sky View Towers, Downtown Dubai, Dubai",3,3,"2,437"
"43,000","Building 88, Arjan, Dubai",1,2,867
"69,999","GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",2,2,"1,350"
"48,000","Bloom Towers, Jumeirah Village Circle (JVC), Dubai",1,1,578
"66,000","GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",1,2,870
"35,000","Astoria Residence, Jumeirah Village Circle (JVC), Dubai",1,2,761
"85,000","Creek Gate, Dubai Creek Harbour, The Lagoons, Dubai",2,2,"1,111"
"60,000","Montrose Residence A, Montrose Residences, Dubai Science Park, Dubai",2,3,"1,130"
"60,000","Oia Residence, Motor City, Dubai",1,2,906
"60,000","GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",2,3,"1,250"
"240,000","Anantara Residences - South, Anantara Residences, Palm Jumeirah, Dubai",2,3,"1,744"
"265,000","5242 Towers, Dubai Marina, Dubai",3,4,"1,742"
"180,000","Damac Heights, Dubai Marina, Dubai",3,4,"1,544"
"40,000","Oxford Boulevard, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Studio,1,445
"140,000","Al Basri, Shoreline Apartments, Palm Jumeirah, Dubai",1,2,"1,145"
"45,000","Park View Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Studio,1,473
"170,000","5242 Towers, Dubai Marina, Dubai",2,2,"1,119"
"110,000","Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",1,1,809
"85,000","Dumax Building, Arjan, Dubai",2,3,"1,525"
"145,000","5242 Towers, Dubai Marina, Dubai",2,2,"1,116"
"50,000","Lincoln Park A, Lincoln Park, Arjan, Dubai",1,2,760
"44,999","Vincitore Boulevard, Arjan, Dubai",Studio,1,489
"70,000","BAB Tower, JVC District 11, Jumeirah Village Circle (JVC), Dubai",1,2,920
"38,000","Oxford Boulevard, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Studio,1,389
"90,000","Creek Gate, Dubai Creek Harbour, The Lagoons, Dubai",2,2,"1,115"
"65,000","Merano Tower, Business Bay, Dubai",1,2,616
"37,000","Lolena Residence, Jumeirah Village Circle (JVC), Dubai",1,2,822
"70,000","Gardenia 2, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",2,3,"2,353"
"42,000","Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Studio,1,514
"85,000","Azure, Dubai Marina, Dubai",1,1,867
"27,999","Gardenia 1, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Studio,1,482
"38,000","Signature Livings, Jumeirah Village Circle (JVC), Dubai",Studio,1,398
"54,000","Beverly Residence, Jumeirah Village Circle (JVC), Dubai",Studio,1,517
"50,000","Miraclz Tower by Danube, Arjan, Dubai",1,2,760
"60,000","Dumax Building, Arjan, Dubai",1,2,"1,028"
"140,000","Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",2,2,"1,096"
"35,000","O2 Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Studio,1,458
"42,000","Siena 1, Siena, Tuscan Residence, Jumeirah Village Circle (JVC), Dubai",1,2,908
"75,000","Signature Livings, Jumeirah Village Circle (JVC), Dubai",1,2,"1,184"
"56,999","DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",1,2,831
"170,000","Burj Daman, DIFC, Dubai",2,2,"1,849"
"130,000","Armada Tower 3, Armada Towers, JLT Cluster P, Jumeirah Lake Towers (JLT), Dubai",3,3,"1,314"
"60,000","Spica Residential, Jumeirah Village Circle (JVC), Dubai",2,3,"1,388"
"70,000","Bloom Towers, Jumeirah Village Circle (JVC), Dubai",1,2,673
"285,000","5242 Towers, Dubai Marina, Dubai",3,4,"1,789"
"26,000","The Plaza Residences, Jumeirah Village Circle (JVC), Dubai",Studio,1,401
"75,000","Wilton Terraces 2, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1,2,839
"129,999","The Lofts East, The Lofts, Downtown Dubai, Dubai",2,3,"1,241"
